exp_number,method,batch_size_prop,batch_size,time,e_train_mae,e_train_rmse,e_train_rsq,f_train_mae,f_train_rmse,f_train_rsq,f_train_mean_cos,e_test_mae,e_test_rmse,e_test_rsq,f_test_mae,f_test_rmse,f_test_rsq,f_test_mean_cos
12,lsdpp_sample,0.64,17280,0.026551172,0.04380742700182407,0.05902624740224912,0.32626976613331116,2.692006067369023,4.094144050915571,0.07077794438018414,0.2690109938447856,605.3716530523194,605.3719169237695,-1.0988856166383994e6,8.274439350244318,66.01621107472597,-0.0013395736264139035,0.1995833565120077
12,dpp_sample,0.64,17280,1359.885225651,0.012669930542265818,0.01682070813947505,0.8556677783776645,0.7956234297381669,1.203936818492412,0.4695810540230516,0.6638538264328927,605.4483895592936,605.4484141317902,-1.2191684152837187e7,2.379435168604476,17.897272808003276,0.00045189423760183534,0.5354302734956582
13,lrdpp_sample,0.08,2160,33.669361342,0.012706406121029726,0.016180708688678314,0.8635413118052659,1.0230644052781055,1.365664385334328,0.40651150122983004,0.5515430411488523,605.4791353017813,605.4805054821687,-220248.4592856688,15.425425468151918,237.50135386201885,0.0005720188519675595,0.30436191694626247
13,lsdpp_sample,0.08,2160,0.028354475,0.0040002407729210565,0.005084231286340778,0.9847906515541216,0.3123100506920344,0.41515895509424205,0.8813017023967792,0.8868386083186255,605.4488731361583,605.4489735731173,-2.954489227942322e6,3.917032129718891,43.29416627061117,-0.0016765362126742733,0.6547954860788016
13,dpp_sample,0.08,2160,25.64519375,0.0037202638839275836,0.004756508451602745,0.9868798850882987,0.2933649971297663,0.39163389174610874,0.8930834311314251,0.8988826649087633,605.4895395522938,605.4897342017155,-1.5699556666331359e6,2.882834935930752,45.81659529572061,0.0015583372783827265,0.6907957328433334
13,lrdpp_sample,0.16,4320,107.933988151,0.00637930551094661,0.008264962938505259,0.9605155139508443,0.4447767414447673,0.6184586903840075,0.7699412671591787,0.8207726417030232,605.4799741092872,605.4800313958289,-5.361038065994982e6,2.7404300149781076,38.964882876354665,0.0021204532878738025,0.633954597587123
13,lsdpp_sample,0.16,4320,0.021910696,0.0034862087647125153,0.004462436310953571,0.9881659268466123,0.2447109653681348,0.3399831542711536,0.9173552920725178,0.9253365201511208,605.4488536619323,605.4488807717715,-1.0777460305824036e7,1.6472264078134016,22.371786402487974,0.007071483183859861,0.7864034330777486
13,dpp_sample,0.16,4320,98.404027974,0.0068502229661857655,0.008855921863572877,0.9557339032464938,0.47753764799489545,0.6690305015695781,0.7410829780773169,0.8050117951636759,605.4441952534147,605.4442191120362,-1.2021419022693712e7,2.6031757698217732,25.734684323962536,0.00046719472144762797,0.6132204574125062
13,lrdpp_sample,0.32,8640,421.29093252,0.002227760829251596,0.0029144840274161698,0.9950185067351559,0.13748948379440007,0.19500829212866685,0.9711170532355456,0.9729110549980645,605.4527148556914,605.4527160857066,-1.1659661995722917e8,0.5048867142032365,6.991506107134312,0.036260238771231634,0.9151804064077862
13,lsdpp_sample,0.32,8640,0.026132508,0.003984364027354484,0.005184227112841244,0.9843380659049278,0.26280640055312415,0.38118600498103616,0.8983272966663376,0.918659552853733,605.4489499214752,605.4489532422303,-7.22718113802657e7,0.9059911043005642,9.099814018085532,0.017669532509821284,0.8095183817700735
13,dpp_sample,0.32,8640,371.304402109,0.006267450844135007,0.00827555542384198,0.9607464167593799,0.40384716809337967,0.5913488607865033,0.7852811160431101,0.847189895934819,605.4608476827813,605.4608529503511,-5.175963796172078e7,1.3923599977352732,10.432772210064645,0.007293127276212341,0.7125641318777328
13,lrdpp_sample,0.64,17280,1505.162289689,0.00205126196824027,0.0026696987974455743,0.9957545968783478,0.1184201415417377,0.1710602814949575,0.9776324556659495,0.9800841797049965,605.4502866643357,605.4502868846163,-2.0089655157211334e8,0.27549237187602493,2.5622487614959697,0.16050417167147302,0.9347833448649557
13,lsdpp_sample,0.64,17280,0.031189592,0.0026614559612645997,0.0035276943268400807,0.9926848271096055,0.1607045981741132,0.23757695992449218,0.957589451040704,0.9647666076234084,605.4510361367039,605.4510370244229,-1.1417820468680833e8,0.4926550426646432,4.720591544269769,0.026826829731147916,0.9003667997417547
13,dpp_sample,0.64,17280,1355.834339138,0.0019479023281031831,0.0025388347913409496,0.9961622239931708,0.11298186455599663,0.16274832226480576,0.9797591732871606,0.9818222411192451,605.452899672941,605.4528998925819,-1.9267444122863385e8,0.28769023100304364,1.799839000287638,0.2549436069254901,0.9325726695700697
14,lrdpp_sample,0.08,2160,40.58632518,0.02606687038564164,0.03280621856792396,0.6158128423631175,2.0140349564822375,2.6951796623914293,0.14947848179426826,0.3313258446863484,605.2982448135863,605.303688150241,-55448.482350755796,23.17899794956868,321.1898873060115,-0.00023035549212480078,0.17038662970210966
14,lsdpp_sample,0.08,2160,0.029217142,0.01324507576541566,0.016895590168047696,0.8517566310030598,1.0350517568070747,1.3885327807136663,0.40129228167099296,0.5494083892750389,605.4404371799143,605.4420797095211,-183428.7434057478,12.173586523035192,136.0879578925697,0.0006648990987558889,0.318487916648708
14,dpp_sample,0.08,2160,20.528877237,0.023658563798533056,0.030332629121281714,0.6511458119429119,1.8996875163116502,2.543888782418541,0.16606622988783304,0.3502417750671679,605.4774465974124,605.4792142451156,-171426.44871264294,18.97089271519128,208.79399214794142,-0.0001723917367937311,0.19555370623186658
14,lrdpp_sample,0.16,4320,104.894749097,0.002307288366929928,0.0029573878218912375,0.9948590700038227,0.15477447920040127,0.21242887354249704,0.9662097369761136,0.9656992829541776,605.444315238936,605.4443196955401,-4.7380888716676086e7,0.8419989153535279,8.130433440649217,0.01996480247129806,0.8710061331418756
14,lsdpp_sample,0.16,4320,0.022213892,0.017695516866453258,0.023025251324824293,0.761664733335591,1.2388180158491393,1.7381124981142972,0.2973037040410239,0.49753142781107323,605.4725296539103,605.472849836277,-937538.1066342988,7.288223625650194,114.42520660478587,-0.0006599755097878024,0.3184170179817184
14,dpp_sample,0.16,4320,91.069397622,0.007107944663531215,0.00921983994813937,0.9523384710634311,0.5039776829353032,0.706542976537826,0.7193102721743387,0.7925695825620357,605.4588468746115,605.4589170783001,-4.178407546517281e6,3.287639911279918,36.16130488195464,0.0019711702012844556,0.5957348449428314
