exp_number,method,batch_size_prop,batch_size,time,e_train_mae,e_train_rmse,e_train_rsq,f_train_mae,f_train_rmse,f_train_rsq,f_train_mean_cos,e_test_mae,e_test_rmse,e_test_rsq,f_test_mae,f_test_rmse,f_test_rsq,f_test_mean_cos
1,lrdpp_sample,0.08,2160,41.113556688,0.0025843197805335634,0.0032775169117723706,0.9935035785640002,0.20339019805862582,0.2702665449435414,0.946439577648402,0.9436090433702677,605.4612712455855,605.4621239483635,-355516.5802532742,3.253438920683932,78.86688115091404,0.000819349372915612,0.7654958417691498
1,lsdpp_sample,0.08,2160,0.173744076,0.003712802423340343,0.004743109500902186,0.9868259097700935,0.29214460297612976,0.3889412657243883,0.8954143371179555,0.9000929499371773,605.4279119471435,605.4282248752988,-960149.8863741638,3.9153631825733783,68.17398639888576,0.0009747682004852543,0.6943526381676471
1,dpp_sample,0.08,2160,25.73848029,0.0022404758593063045,0.0028413862456772776,0.9952340785389507,0.1742302577946368,0.23066940951828335,0.9605303965798502,0.9574070590534424,605.4157173900231,605.4160194626083,-991891.7703313822,1.8448076470379522,48.71198249324125,0.0004715284492992078,0.798118957002629
1,lrdpp_sample,0.16,4320,129.724487176,0.004807990908251833,0.006183714750276076,0.9781180968614603,0.3418613347171965,0.47455667627010534,0.8502151754745133,0.8758283805957929,605.459171519683,605.459209687125,-7.752732354724117e6,1.958582789180489,28.590182093142936,0.0025079129384154575,0.7211082821391557
1,lsdpp_sample,0.16,4320,0.020886132,0.0042995679155362135,0.0055134079449426915,0.9820214834266637,0.29333915486539713,0.4071784566714833,0.8864843912681076,0.8997948714596883,605.4386947803561,605.4387201097112,-1.1135306795089956e7,1.8333107533306963,35.39509188253557,-0.00026749981977780557,0.7516474539284898
1,dpp_sample,0.16,4320,123.087603754,0.026177496931441707,0.03376856659566169,0.5932558200178208,1.889916762651333,2.615485036706411,0.15690668630009263,0.35155927692382677,605.4634853668434,605.4677975739145,-70143.90709785541,15.403661037734215,314.03219682368615,0.00021242561999879062,0.22016403182949978
1,lrdpp_sample,0.32,8640,639.329919879,0.053011929447709286,0.06946330180781882,0.25509356994528465,3.432439719556624,5.051992286554605,0.04768215530864406,0.21411007845461436,605.3769462708535,605.3795718277703,-115509.91002507323,16.173046555393675,215.4055214201816,-7.1283966320834224e-6,0.14839135359973737
1,lsdpp_sample,0.32,8640,0.027168545,0.005916501194759717,0.007808528142949352,0.9645907633721055,0.38520787561228076,0.5620599046971388,0.8018938054275948,0.85775193718422,605.4421368877031,605.4421658895819,-9.702361055540776e6,1.3580607029689782,16.956184731711396,0.006030452376320383,0.7280598583272426
1,dpp_sample,0.32,8640,410.53722814,0.0035550059756611248,0.004649019998788486,0.9870002955677922,0.2279045483616268,0.328979500413005,0.922294708575338,0.9355571877445823,605.4502257565096,605.4502296793491,-5.887341357745095e7,0.8851166706709127,9.281140658159128,0.020939242776031763,0.8379304534715333
1,lrdpp_sample,0.64,17280,1382.195062285,0.018312593959315927,0.024474565629639147,0.7349624201578583,1.1393792779815406,1.7247535416334998,0.30104706512594936,0.5374934170541295,605.4552679456102,605.455299882376,-9.729685320180671e6,3.115841065124585,22.663565468759796,0.0010901027621068593,0.4065796530964336
1,lsdpp_sample,0.64,17280,0.003149291,0.0020839346375617976,0.002725481939652675,0.9956177708282505,0.11922320752082144,0.17246749853760646,0.9772882042893463,0.9798409301918585,605.4491697829109,605.4491709461356,-1.1986300590875807e8,0.2989569327975198,2.8521551008192563,0.13875289605356889,0.9368112519215499
1,dpp_sample,0.64,17280,1224.071458304,0.003162421836412919,0.004147279640246698,0.9898534174152754,0.19160771300293256,0.28249213023574427,0.9412433869430552,0.9520123641807663,605.4526827410958,605.4526839454492,-1.1776284975559314e8,0.5281493481783417,5.353649487877947,0.053346301241122385,0.8854251716410361
2,lrdpp_sample,0.08,2160,38.91928925,0.00723888242118516,0.009262822220286702,0.9519338521504457,0.5698787210309795,0.764226992247076,0.6876019837285314,0.7513543586676704,605.4122000261167,605.4134500073365,-241641.90921458523,6.661511308724923,116.95670129310544,0.0002190097876006991,0.506006104294018
2,lsdpp_sample,0.08,2160,0.0374457,0.004761387952174912,0.0060204889072797705,0.9796578950547368,0.37601266110568127,0.502358709047185,0.8356631868719966,0.8537883407454689,605.4943257309287,605.494565641397,-1.2609252058083958e6,4.118386380053143,66.5945705192029,0.00040548260864070595,0.6068280599267897
2,dpp_sample,0.08,2160,20.284098873,0.033231559510057525,0.042621032161007835,0.4868055610826544,2.6508074080832915,3.538298700291239,0.09364115946872864,0.2582580052667462,605.3166856184112,605.3670135623752,-6011.922107266841,34.17687353602221,702.0776212446549,-2.90891788856662e-5,0.1362931812351066
2,lrdpp_sample,0.16,4320,78.426835165,0.004553968707199809,0.005924285610502492,0.9801503809248242,0.3122992236438547,0.4349070604287051,0.8723302663354892,0.8914169306222417,605.4315147678702,605.4317250311994,-1.4228656987821835e6,2.0124748035012034,46.926774083998815,-0.0014435519352840043,0.7369241517381802
2,lsdpp_sample,0.16,4320,0.0248289,0.0026550834624934085,0.003401870415965717,0.9930783989067752,0.179524311346934,0.24714609778008834,0.9545277730493233,0.9547416841477097,605.4486914974185,605.4487006238938,-2.85125234200756e7,0.9773032064691194,10.086439769872255,0.01646926915463698,0.847231899330412
2,dpp_sample,0.16,4320,67.426718649,0.013368439687616529,0.017272858830673844,0.8492857216556878,0.9363442964624904,1.3070791697296489,0.43079256030883273,0.5935014638477935,605.5018752922879,605.5023142443636,-689528.9850937993,6.000690399142106,81.82301384302498,-0.0007181681060897116,0.41449747795206277
